Time,Distance,Force,Elevation
0.1,0.01,4,-3.78520035074966
0.2,0.04,5,-3.89539052351278
0.3,0.09,4,-3.96665924180987
0.4,0.16,5,-3.99829441216602
0.5,0.25,4,-3.98997994641622
0.6,0.36,7,-3.94179891995384
0.7,0.49,6,-3.85423274166877
0.8,0.64,7,-3.72815634386891
0.9,0.81,6,-3.56482944024574
1,1,7,-3.36588393923159
1.1,1.21,6,-3.13330763850993
1.2,1.44,8,-2.86942436359809
1.3,1.69,9,-2.57687074895076
1.4,1.96,3,-2.25856989358014
1.5,2.25,2,-1.91770215441681
1.6,2.56,3,-1.5576733692346
1.7,2.89,2,-1.18208082664536
1.8,3.24,3,-0.794677323180245
1.9,3.61,0,-0.399333666587313
2,4,0,0
2.1,4.41,1,0.399333666587313
2.2,4.84,1,0.794677323180246
2.3,5.29,5,1.18208082664536
2.4,5.76,5,1.5576733692346
2.5,6.25,3,1.91770215441681
2.6,6.76,3,2.25856989358014
2.7,7.29,3,2.57687074895077
2.8,7.84,3,2.86942436359809
2.9,8.41,3,3.13330763850993
3,9,2,3.36588393923159
3.1,9.61,7,3.56482944024574
3.2,10.24,8,3.72815634386891
3.3,10.89,2,3.85423274166877
3.4,11.56,6,3.94179891995384
3.5,12.25,8,3.98997994641622
3.6,12.96,3,3.99829441216602
3.7,13.69,4,3.96665924180987
3.8,14.44,3,3.89539052351278
3.9,15.21,4,3.78520035074966
4,16,3,3.63718970730273
4.1,16.81,4,3.4528374665955
4.2,17.64,3,3.23398561527836
4.3,18.49,6,2.98282084870688
4.4,19.36,6,2.7018527222046
4.5,20.25,6,2.39388857641583
4.6,21.16,6,2.06200548728586
